Sveiki, žiūrovai. Na ką, | Здравствуйте, зрители. Ну что,
šiandien pašnekėsim apie vandentikį, | сегодня поговорим о водопроводе,
kurį mes geriame, iš kurio mes gaminame | который мы пьём, из которого мы готовим
maistą, plauname indus, skalbiam | еду, моем посуду, стираем
drabužius bei maudomės. O tiksliau, kaip | одежду и купаемся. А точнее, как
jisai sudarytas, iš kur jisai tiekiamas, | он устроен, откуда он подаётся,
ką mes su juo darom. O dabar pasidarykit | что мы с ним делаем. А теперь сделайте
pagert, pavalgyt, mes važiuojam. | попить, поесть, мы поехали.
Ir pradėkime nuo pačių pradžių, nuo | И начнём с самых начал, с
vandens. Iš kur mes jį gauname. | воды. Откуда мы её получаем.
O gauti mes galim jį keliais būdais. Iš | А получить мы можем её несколькими способами. Из
žemės kelmių arba iš kokių dirbtinių | земли источников или из каких искусственных
vandens telkinių, gal upių, o gal ir net | водных водоёмов, может рек, а может и даже
ežerų. | озёр.
Mums kaip Lietuvos gyventojams labai | Нам как Литвы жителям очень
pasisekė, kadangi didžiąją vandens dalį | повезло, так как большую воды часть
mes paimame iš grėžinių. O jūs | мы берём из скважин. А вы
įsivaizduojat, | представляете,
Vilniaus vandenys tiekia mum net iš 33 | Вильнюсские воды подают нам даже из 33
vandenviečių, kuriuos sudaro 287 | водозаборов, которые составляют 287
gręžiniai, o grįžinių gylis prasideda | скважины, а скважин глубина начинается
nuo 32 iki 245 m. Turime džiaugtis, kad | от 32 до 245 м. Должны радоваться, что
turim tiek daug vandens išteklių. Na, ir | имеем так много водных ресурсов. Ну, и
pro vizualiai, kaip vanduo atiteka iki | далее визуально, как вода доходит до
jūsų namų, iki jūsų virtuvių, iki jūsų | ваших домов, до ваших кухонь, до ваших
vonių. | ванн.
Prieš patekiant vandenį jūsų namams, | Перед поступлением воды в ваши дома,
pradžioje padaromi reikalingi visi | сначала выполняются необходимые все
tyrimai. Na, ir, žinoma, vienas iš | исследования. Ну, и, конечно, один из
aspektų tai yra vandens kiekis. | аспектов это есть воды количество.
Jeigu jo neužtenka, | Если его не хватает,
tada ieškoma kitų vandens šaltinių. | тогда ищутся другие воды источники.
Žinoma, kad iš mažo ežero su varlėm | Конечно, что из маленького озера с лягушками
tikrai nieks vandens neims. | точно никто воды не возьмёт.
Kartais pompavimo stotelė nutolusi nuo | Иногда насосная станция удалена от
miesto stovi net 10 ir 20 km. | города стоит даже 10 и 20 км.
Na štai, | Ну вот,
vandenį suradom, pasistatėm pirminę | воду нашли, построили первичную
pampavimo stotelę. | насосную станцию.
Na, štai matom stotelę pas mus stovi, | Ну, вот видим станция у нас стоит,
kurioje stovi pirminio pakėlimo | в которой стоят первичного подъёма
siurbliai. Jų vienintelė funkcija, | насосы. Их единственная функция,
vienintelė funkcija toliau nukreipt | единственная функция дальше направить
vandenį link miesto, kur yra valymo | воду к городу, где есть очистные
įrenginiai. | сооружения.
Jūs turbūt paklausit, mhm, o koks jos | Вы наверное спросите, хм, а какая её
tikslas, ką jinai daro? O aš jum | цель, что она делает? А я вам
atsakysiu. Jos pagrindinis tikslas tai | отвечу. Её основная цель это
yra patikrint visą vandenį, ant kiek | есть проверить всю воду, насколько
jisai yra geriamas, jį visą prafiltruot, | она есть питьевая, её всю профильтровать,
išvalyt. | очистить.
Tokiems įrenginiams yra labai didžiuliai | Таким установкам есть очень большие
reikalavimai ir kontrolė ten pastovi. | требования и контроль там постоянный.
Tam, kad vanduo būtų skaidrus ir | Чтобы вода была прозрачная и
šviesus, kaip pas mus čiauposi, | светлая, как у нас в кранах,
reikia pašalint visas nereikalingas | нужно удалить все ненужные
priemaišas. | примеси.
Taip pat neužmirškime ir apie | Также не забудем и о
bakterijas, jas taipogi čionais visas | бактериях, их тоже здесь всех
išnaikina. | уничтожают.
